uMarka,urunKategorileri,urunKategorileriTwo,urunKategorileriThree,urunKategorileriFour,urunKategorileriFive,urunKategorileriSix,urunKategorileriSeven,urunAdi,urunAciklama,urunFoto,urunURL
Kurukahveci,İçecek,"Filtre, Çekirdek, Kapsül Kahve",,,,,,Kurukahveci Brazilian Filtre Kahve 250 gr,,https://img.istegelsin.com/kmem250gbrazilianfolyos.jpg,
Fropie,İçecek,"Ayran, Kefir",,,,,,Fropie İnek Kefir 1 L,,https://img.istegelsin.com/b8bbc6089aad46b1a4d1738cbba6e35f.jpg,
Moliendo,İçecek,"Filtre, Çekirdek, Kapsül Kahve",,,,,,Moliendo Honduras San Marcos Yöresel Filtre Kahve 250 gr,,https://img.istegelsin.com/86bc741bbaee4579a434e9a43f3c6369.jpg,
Kahve Dünyası,İçecek,"Filtre, Çekirdek, Kapsül Kahve",,,,,,Kahve Dünyası Filtre Kahve 250 gr,,https://img.istegelsin.com/707220943737480787326b9b4299531c.jpg,
Juss,İçecek,Meyve Suları,,,,,,Juss %100 Karışık 1 L,,https://img.istegelsin.com/ef119dbf381e49fc983cf1afc04e292a.jpg,
Kahve Dünyası,İçecek,"Filtre, Çekirdek, Kapsül Kahve",,,,,,Kahve Dünyası Kolombiya Filtre Kahve 200 gr,,https://img.istegelsin.com/b73dc34c470e4896a8f5b5ee74b253ad.jpg,
Juss,İçecek,Meyve Suları,,,,,,Juss %100 Portakal 1 L,,https://img.istegelsin.com/599c024ca74249c791455b5ce6b9a26b.jpg,
Kahve Dünyası,İçecek,"Filtre, Çekirdek, Kapsül Kahve",,,,,,Kahve Dünyası Kenya Filtre Kahve 200 gr,,https://img.istegelsin.com/45e7095a348b4e6f98523c39839ac889.jpg,
Kahve Dünyası,İçecek,"Filtre, Çekirdek, Kapsül Kahve",,,,,,Kahve Dünyası Santos Filtre Kahve 200 gr,,https://img.istegelsin.com/a8a438a981044d19b876650a488054ed.jpg,
Juss,İçecek,Meyve Suları,,,,,,Juss %100 Elma Şeftali 1 L,,https://img.istegelsin.com/ff7a1862396c40d2ab155add6acfffa3.jpg,
Kahve Dünyası,İçecek,"Filtre, Çekirdek, Kapsül Kahve",,,,,,Kahve Dünyası Kosta Rika Filtre Kahve 200 gr,,https://img.istegelsin.com/39e3b63962b04ab2ab9ce67be9af562f.jpg,
Juss,İçecek,Meyve Suları,,,,,,Juss %100 Elma Suyu 1 L,,https://img.istegelsin.com/e8ba4b3280cd4d238c38ef5d31f4ee64.jpg,
Kahve Dünyası,İçecek,"Filtre, Çekirdek, Kapsül Kahve",,,,,,Kahve Dünyası Guatemala Filtre Kahve 200 gr,,https://img.istegelsin.com/1203bef84e3a4a5794cc0dde182a9aad.jpg,
Kahve Dünyası,İçecek,"Filtre, Çekirdek, Kapsül Kahve",,,,,,Kahve Dünyası Fındıklı Filtre Kahve 250 gr,,https://img.istegelsin.com/386a34e9f998476c8896518c14f07bf2.jpg,
Kahve Dünyası,İçecek,"Filtre, Çekirdek, Kapsül Kahve",,,,,,Kahve Dünyası Kafeinsiz Filtre Kahve 250 gr,,https://img.istegelsin.com/cc2beeccda3f412ca62b3f6cb3fa3bef.jpg,
Nish Kahve,İçecek,Kahve,,,,,,Nish Dibek Türk Kahvesi 100 gr,,https://img.istegelsin.com/D_BEKON.jpg,
Red Bull,İçecek,Enerji İçecekleri,,,,,,Red Bull Enerji İçeceği 4x250 ml,,https://img.istegelsin.com/651f1af5c51d4e3ea29081e06d224557.jpg,
Kahve Dünyası,İçecek,"Filtre, Çekirdek, Kapsül Kahve",,,,,,Kahve Dünyası Vanilyalı Filtre Kahve 250 gr,,https://img.istegelsin.com/b3adcb102f5b48ba8939140873174dfa.jpg,
Kahve Dünyası,İçecek,"Filtre, Çekirdek, Kapsül Kahve",,,,,,Kahve Dünyası Karamelli Filtre Kahve 250 gr,,https://img.istegelsin.com/404a2685a8ef4ababb75e4069d1c5b69.jpg,
